द्रब्यशाहमध्ये,द्रब्यशाह,('SFX', '22', '0', 'मध्ये', '.')
सेल्टरपछिको,सेल्टर,('SFX', '22', '0', 'पछिको', '.')
सेल्टरसम्मका,सेल्टर,('SFX', '22', '0', 'सम्मका', '.')
सेल्टरभित्रै,सेल्टर,('SFX', '22', '0', 'भित्रै', '.')
सेल्टरसहितका,सेल्टर,('SFX', '22', '0', 'सहितका', '.')
काट्नसक्छ,काट्,('SFX', '41', '0', 'नसक्छ', '्')
काटेनन्,काट्,('SFX', '1', '्', 'ेनन्', '्')
काट्नसक्दछ,काट्,('SFX', '41', '0', 'नसक्दछ', '्')
काट्छन्,काट्,('SFX', '1', '0', 'छन्', '्')
काटेको,काट्,('SFX', '1', '्', 'ेको/17X', '्')
रोप्नुहुँदैछ,रोप्,('SFX', '41', '0', 'नुहुँदैछ', '्')
रोप्नुहुन्छ,रोप्,('SFX', '41', '0', 'नुहुन्छ', '्')
रोप्नेछु,रोप्,('SFX', '1', '0', 'नेछु', '्')
रोप0,रोप्,('SFX', '1', '्', '0/17X', '्')
रोपी,रोप्,('SFX', '1', '्', 'ी/17X', '्')
उम्कन्थी,उम्क,('SFX', '8', '0', 'न्थी', '.')
उम्कनसक्थी,उम्क,('SFX', '45', '0', 'नसक्थी', '[^उइि्]')
उम्कनुपरेन,उम्क,('SFX', '45', '0', 'नुपरेन', '[^उइि्]')
ढाकरबाट,ढाकर,('SFX', '15', '0', 'बाट', '.')
ढाकरसम्बन्धी,ढाकर,('SFX', '22', '0', 'सम्बन्धी', '.')
ढाकरजस्तो,ढाकर,('SFX', '22', '0', 'जस्तो', '.')
ढाकरमार्फत,ढाकर,('SFX', '22', '0', 'मार्फत', '.')
ढाकरसहित,ढाकर,('SFX', '15', '0', 'सहित', '.')
अल्पज्ञता,अल्पज्ञ,('SFX', '32', '0', 'ता/15X,18X', '.')
सखुवामै,सखुवा,('SFX', '22', '0', 'मै', '.')
सखुवाभित्रका,सखुवा,('SFX', '22', '0', 'भित्रका', '.')
सखुवामात्र,सखुवा,('SFX', '22', '0', 'मात्र', '.')
सखुवाझैँ,सखुवा,('SFX', '22', '0', 'झैँ', '.')
सखुवातिर,सखुवा,('SFX', '22', '0', 'तिर', '.')
छोडपत्रप्रति,छोडपत्र,('SFX', '22', '0', 'प्रति', '.')
छोडपत्रहरूप्रति,छोडपत्र,('SFX', '18', '0', 'हरूप्रति', '.')
छोडपत्रहरूमाथि,छोडपत्र,('SFX', '18', '0', 'हरूमाथि', '.')
छोडपत्रसहितको,छोडपत्र,('SFX', '22', '0', 'सहितको', '.')
छोडपत्रकै,छोडपत्र,('SFX', '22', '0', 'कै', '.')
किचकाचलाई,किचकाच,('SFX', '15', '0', 'लाई', '.')
किचकाचजस्तै,किचकाच,('SFX', '22', '0', 'जस्तै', '.')
किचकाचसहितको,किचकाच,('SFX', '22', '0', 'सहितको', '.')
किचकाचका,किचकाच,('SFX', '15', '0', 'का', '.')
किचकाचअघिदेखि,किचकाच,('SFX', '22', '0', 'अघिदेखि', '.')
सर्मअघिदेखि,सर्म,('SFX', '22', '0', 'अघिदेखि', '.')
सर्मकै,सर्म,('SFX', '22', '0', 'कै', '.')
सर्मतर्फ,सर्म,('SFX', '22', '0', 'तर्फ', '.')
सर्मसहितको,सर्म,('SFX', '22', '0', 'सहितको', '.')
सर्मदेखि,सर्म,('SFX', '22', '0', 'देखि', '.')
आकाशभित्र,आकाश,('SFX', '26', '0', 'भित्र', '.')
आकाशसमेत,आकाश,('SFX', '26', '0', 'समेत', '.')
आकाशभरि,आकाश,('SFX', '26', '0', 'भरि', '.')
आकाशसम्मका,आकाश,('SFX', '26', '0', 'सम्मका', '.')
आकाशमध्ये,आकाश,('SFX', '26', '0', 'मध्ये', '.')
किनबेचमा,किनबेच,('SFX', '15', '0', 'मा', '.')
किनबेचमाथि,किनबेच,('SFX', '22', '0', 'माथि', '.')
किनबेचअघि,किनबेच,('SFX', '22', '0', 'अघि', '.')
किनबेचले,किनबेच,('SFX', '15', '0', 'ले', '.')
किनबेचलगायतका,किनबेच,('SFX', '22', '0', 'लगायतका', '.')
हाइपछिकी,हाइ,('SFX', '22', '0', 'पछिकी', '.')
हाइअघिदेखि,हाइ,('SFX', '22', '0', 'अघिदेखि', '.')
हाइभित्रै,हाइ,('SFX', '22', '0', 'भित्रै', '.')
हाइसँग,हाइ,('SFX', '15', '0', 'सँग', '.')
हाइसँगका,हाइ,('SFX', '15', '0', 'सँगका', '.')
जुध्नसक्थ्यो,जुध्,('SFX', '41', '0', 'नसक्थ्यो', '्')
जुध्यौँ,जुध्,('SFX', '1', '0', 'यौँ', '्')
जुध्नुभएन,जुध्,('SFX', '41', '0', 'नुभएन', '्')
जुध्नसकेनौँ,जुध्,('SFX', '41', '0', 'नसकेनौँ', '्')
जुध्दैन,जुध्,('SFX', '1', '0', 'दैन', '्')
धड्कनुपर्नेबारे,धड्क,('SFX', '45', '0', 'नुपर्नेबारे', '[^उइि्]')
धड्कनसकी,धड्क,('SFX', '45', '0', 'नसकी', '[^उइि्]')
धड्कन्छ्यौ,धड्क,('SFX', '8', '0', 'न्छ्यौ', '.')
उडसम्म,उड,('SFX', '22', '0', 'सम्म', '.')
उडकी,उड,('SFX', '15', '0', 'की', '.')
उडसँगै,उड,('SFX', '15', '0', 'सँगै', '.')
उडमाथिका,उड,('SFX', '22', '0', 'माथिका', '.')
उडबिना,उड,('SFX', '15', '0', 'बिना', '.')
धमासभित्रमा,धमास,('SFX', '22', '0', 'भित्रमा', '.')
धमाससम्ममा,धमास,('SFX', '22', '0', 'सम्ममा', '.')
धमासमात्र,धमास,('SFX', '22', '0', 'मात्र', '.')
धमासले,धमास,('SFX', '15', '0', 'ले', '.')
धमासपछिकी,धमास,('SFX', '22', '0', 'पछिकी', '.')
प्रतिनिधिबीच,प्रतिनिधि,('SFX', '22', '0', 'बीच', '.')
प्रतिनिधिझैँ,प्रतिनिधि,('SFX', '22', '0', 'झैँ', '.')
प्रतिनिधितर्फ,प्रतिनिधि,('SFX', '22', '0', 'तर्फ', '.')
प्रतिनिधिसम्म,प्रतिनिधि,('SFX', '22', '0', 'सम्म', '.')
प्रतिनिधिसँगका,प्रतिनिधि,('SFX', '15', '0', 'सँगका', '.')
बडेमानभित्रका,बडेमान,('SFX', '22', '0', 'भित्रका', '.')
बडेमानतर्फ,बडेमान,('SFX', '22', '0', 'तर्फ', '.')
बडेमानअघि,बडेमान,('SFX', '22', '0', 'अघि', '.')
बडेमानले,बडेमान,('SFX', '15', '0', 'ले', '.')
बडेमानतिर,बडेमान,('SFX', '22', '0', 'तिर', '.')
लड्कीको,लड्की,('SFX', '15', '0', 'को', '.')
लड्कीसम्म,लड्की,('SFX', '22', '0', 'सम्म', '.')
लड्कीसम्बन्धी,लड्की,('SFX', '22', '0', 'सम्बन्धी', '.')
लड्कीभित्रमा,लड्की,('SFX', '22', '0', 'भित्रमा', '.')
लड्कीबाट,लड्की,('SFX', '15', '0', 'बाट', '.')
सिउँडीलाई,सिउँडी,('SFX', '15', '0', 'लाई', '.')
सिउँडीभित्रका,सिउँडी,('SFX', '22', '0', 'भित्रका', '.')
सिउँडीपछि,सिउँडी,('SFX', '22', '0', 'पछि', '.')
सिउँडीभित्रै,सिउँडी,('SFX', '22', '0', 'भित्रै', '.')
सिउँडीमात्र,सिउँडी,('SFX', '22', '0', 'मात्र', '.')
साटनका,साटन,('SFX', '15', '0', 'का', '.')
साटनमा,साटन,('SFX', '15', '0', 'मा', '.')
साटनजस्तै,साटन,('SFX', '22', '0', 'जस्तै', '.')
साटनबारे,साटन,('SFX', '22', '0', 'बारे', '.')
साटनजस्ता,साटन,('SFX', '22', '0', 'जस्ता', '.')
स्फूर्तिपछि,स्फूर्ति,('SFX', '22', '0', 'पछि', '.')
स्फूर्तिजस्तै,स्फूर्ति,('SFX', '22', '0', 'जस्तै', '.')
स्फूर्तिसँगका,स्फूर्ति,('SFX', '15', '0', 'सँगका', '.')
स्फूर्तिपछिकी,स्फूर्ति,('SFX', '22', '0', 'पछिकी', '.')
स्फूर्तितिर,स्फूर्ति,('SFX', '22', '0', 'तिर', '.')
पाँडेबाट,पाँडे,('SFX', '15', '0', 'बाट', '.')
पाँडेसम्बन्धी,पाँडे,('SFX', '22', '0', 'सम्बन्धी', '.')
पाँडेका,पाँडे,('SFX', '15', '0', 'का', '.')
पाँडेसम्मको,पाँडे,('SFX', '22', '0', 'सम्मको', '.')
पाँडेभित्रको,पाँडे,('SFX', '22', '0', 'भित्रको', '.')
पिर्तीसम्मका,पिर्ती,('SFX', '22', '0', 'सम्मका', '.')
पिर्तीभित्रको,पिर्ती,('SFX', '22', '0', 'भित्रको', '.')
पिर्तीसम्ममा,पिर्ती,('SFX', '22', '0', 'सम्ममा', '.')
पिर्तीसहित,पिर्ती,('SFX', '15', '0', 'सहित', '.')
पिर्तीले,पिर्ती,('SFX', '15', '0', 'ले', '.')
विकासखर्चभित्रमा,विकासखर्च,('SFX', '22', '0', 'भित्रमा', '.')
विकासखर्चदेखि,विकासखर्च,('SFX', '22', '0', 'देखि', '.')
विकासखर्चपछिकी,विकासखर्च,('SFX', '22', '0', 'पछिकी', '.')
विकासखर्चभित्रका,विकासखर्च,('SFX', '22', '0', 'भित्रका', '.')
विकासखर्चसित,विकासखर्च,('SFX', '15', '0', 'सित', '.')
कडीभित्र,कडी,('SFX', '22', '0', 'भित्र', '.')
कडीजस्तो,कडी,('SFX', '22', '0', 'जस्तो', '.')
कडीपछिको,कडी,('SFX', '22', '0', 'पछिको', '.')
कडीभन्दापर,कडी,('SFX', '22', '0', 'भन्दापर', '.')
कडीसम्मका,कडी,('SFX', '22', '0', 'सम्मका', '.')
द्रविकरणसहित,द्रविकरण,('SFX', '22', '0', 'सहित', '.')
द्रविकरणसहितका,द्रविकरण,('SFX', '22', '0', 'सहितका', '.')
द्रविकरणपनि,द्रविकरण,('SFX', '22', '0', 'पनि', '.')
द्रविकरणअघि,द्रविकरण,('SFX', '22', '0', 'अघि', '.')
द्रविकरणसम्मको,द्रविकरण,('SFX', '22', '0', 'सम्मको', '.')
बाख्रीसहित,बाख्री,('SFX', '15', '0', 'सहित', '.')
बाख्रीको,बाख्री,('SFX', '15', '0', 'को', '.')
बाख्रीभन्दापर,बाख्री,('SFX', '22', '0', 'भन्दापर', '.')
बाख्रीलगायतका,बाख्री,('SFX', '22', '0', 'लगायतका', '.')
बाख्रीपट्टि,बाख्री,('SFX', '22', '0', 'पट्टि', '.')
भतारिसक्छौ,भतारि,('SFX', '43', '0', 'सक्छौ', '[िइ]')
भतारिनेछस्,भतारि,('SFX', '8', '0', 'नेछस्', '.')
भतारिँदैछ,भतारि,('SFX', '8', '0', 'ँदैछ', '.')
भतारिरहला,भतारि,('SFX', '43', '0', 'रहला', '[िइ]')
भतारिदेला,भतारि,('SFX', '43', '0', 'देला', '[िइ]')
नैकापदेखि,नैकाप,('SFX', '22', '0', 'देखि', '.')
नैकापकै,नैकाप,('SFX', '22', '0', 'कै', '.')
नैकापसम्मका,नैकाप,('SFX', '22', '0', 'सम्मका', '.')
नैकापमै,नैकाप,('SFX', '22', '0', 'मै', '.')
नैकापजस्तो,नैकाप,('SFX', '22', '0', 'जस्तो', '.')
अर्जीमाथि,अर्जी,('SFX', '22', '0', 'माथि', '.')
अर्जीमै,अर्जी,('SFX', '22', '0', 'मै', '.')
अर्जीसहितका,अर्जी,('SFX', '22', '0', 'सहितका', '.')
अर्जीपट्टि,अर्जी,('SFX', '22', '0', 'पट्टि', '.')
अर्जीअघिदेखि,अर्जी,('SFX', '22', '0', 'अघिदेखि', '.')
अहङ्कारसहित,अहङ्कार,('SFX', '15', '0', 'सहित', '.')
अहङ्कारका,अहङ्कार,('SFX', '15', '0', 'का', '.')
अहङ्कारहरूसँगै,अहङ्कार,('SFX', '18', '0', 'हरूसँगै', '.')
अहङ्कारहरूदेखि,अहङ्कार,('SFX', '18', '0', 'हरूदेखि', '.')
अहङ्कारहरूबारे,अहङ्कार,('SFX', '18', '0', 'हरूबारे', '.')
चपातीबाट,चपाती,('SFX', '15', '0', 'बाट', '.')
चपातीसँगका,चपाती,('SFX', '15', '0', 'सँगका', '.')
चपातीभित्रका,चपाती,('SFX', '22', '0', 'भित्रका', '.')
चपातीअघिदेखि,चपाती,('SFX', '22', '0', 'अघिदेखि', '.')
चपातीसम्बन्धी,चपाती,('SFX', '22', '0', 'सम्बन्धी', '.')
तरुनीपछिका,तरुनी,('SFX', '22', '0', 'पछिका', '.')
तरुनीहरूको,तरुनी,('SFX', '18', '0', 'हरूको', '.')
तरुनीतर्फ,तरुनी,('SFX', '22', '0', 'तर्फ', '.')
तरुनीहरूमाथि,तरुनी,('SFX', '18', '0', 'हरूमाथि', '.')
तरुनीसहितका,तरुनी,('SFX', '22', '0', 'सहितका', '.')
चुकचुकाउँदी,चुकचुकाउँदो,('SFX', '14', 'ो', 'ी', 'ो')
चुकचुकाउँदा,चुकचुकाउँदो,('SFX', '14', 'ो', 'ा', 'ो')
चूनबाहेक,चून,('SFX', '22', '0', 'बाहेक', '.')
चूनसम्मका,चून,('SFX', '22', '0', 'सम्मका', '.')
चूनसमेत,चून,('SFX', '22', '0', 'समेत', '.')
चूनहरूसित,चून,('SFX', '18', '0', 'हरूसित', '.')
चूनहरूद्वारा,चून,('SFX', '18', '0', 'हरूद्वारा', '.')
प्रहसनभित्रका,प्रहसन,('SFX', '22', '0', 'भित्रका', '.')
प्रहसनसँगको,प्रहसन,('SFX', '15', '0', 'सँगको', '.')
प्रहसनसम्म,प्रहसन,('SFX', '22', '0', 'सम्म', '.')
प्रहसनसित,प्रहसन,('SFX', '15', '0', 'सित', '.')
प्रहसनसमेत,प्रहसन,('SFX', '22', '0', 'समेत', '.')
आकृतिहरूसँग,आकृति,('SFX', '18', '0', 'हरूसँग', '.')
आकृतिमाथि,आकृति,('SFX', '22', '0', 'माथि', '.')
आकृतिपछिको,आकृति,('SFX', '22', '0', 'पछिको', '.')
आकृतिअघिदेखि,आकृति,('SFX', '22', '0', 'अघिदेखि', '.')
आकृतिबीच,आकृति,('SFX', '22', '0', 'बीच', '.')
मल्लिँडोतर्फ,मल्लिँडो,('SFX', '22', '0', 'तर्फ', '.')
मल्लिँडोबिना,मल्लिँडो,('SFX', '15', '0', 'बिना', '.')
मल्लिँडोसम्मको,मल्लिँडो,('SFX', '22', '0', 'सम्मको', '.')
मल्लिँडोबीच,मल्लिँडो,('SFX', '22', '0', 'बीच', '.')
मल्लिँडोसित,मल्लिँडो,('SFX', '15', '0', 'सित', '.')
प्रथाको,प्रथा,('SFX', '15', '0', 'को', '.')
प्रथाभित्रै,प्रथा,('SFX', '22', '0', 'भित्रै', '.')
प्रथाभित्र,प्रथा,('SFX', '22', '0', 'भित्र', '.')
प्रथासहित,प्रथा,('SFX', '22', '0', 'सहित', '.')
प्रथाप्रति,प्रथा,('SFX', '22', '0', 'प्रति', '.')
वरणपछि,वरण,('SFX', '22', '0', 'पछि', '.')
वरणले,वरण,('SFX', '15', '0', 'ले', '.')
वरणबाहेक,वरण,('SFX', '22', '0', 'बाहेक', '.')
वरणमाथिबाट,वरण,('SFX', '22', '0', 'माथिबाट', '.')
वरणमाथि,वरण,('SFX', '22', '0', 'माथि', '.')
संबन्धीसमेत,संबन्धी,('SFX', '22', '0', 'समेत', '.')
संबन्धीदेखि,संबन्धी,('SFX', '22', '0', 'देखि', '.')
संबन्धीझैँ,संबन्धी,('SFX', '22', '0', 'झैँ', '.')
संबन्धीभित्रका,संबन्धी,('SFX', '22', '0', 'भित्रका', '.')
संबन्धीका,संबन्धी,('SFX', '15', '0', 'का', '.')
बुभुक्षाअघि,बुभुक्षा,('SFX', '22', '0', 'अघि', '.')
बुभुक्षासम्बन्धी,बुभुक्षा,('SFX', '22', '0', 'सम्बन्धी', '.')
बुभुक्षापछिको,बुभुक्षा,('SFX', '22', '0', 'पछिको', '.')
बुभुक्षासँगै,बुभुक्षा,('SFX', '15', '0', 'सँगै', '.')
बुभुक्षासम्मको,बुभुक्षा,('SFX', '22', '0', 'सम्मको', '.')
एडप्टरझैँ,एडप्टर,('SFX', '22', '0', 'झैँ', '.')
एडप्टरलगायतका,एडप्टर,('SFX', '22', '0', 'लगायतका', '.')
एडप्टरसँगै,एडप्टर,('SFX', '15', '0', 'सँगै', '.')
एडप्टरमात्र,एडप्टर,('SFX', '22', '0', 'मात्र', '.')
एडप्टरबीच,एडप्टर,('SFX', '22', '0', 'बीच', '.')
सातसित,सात,('SFX', '15', '0', 'सित', '.')
सातमै,सात,('SFX', '22', '0', 'मै', '.')
सातसम्बन्धी,सात,('SFX', '22', '0', 'सम्बन्धी', '.')
सातअघिदेखि,सात,('SFX', '22', '0', 'अघिदेखि', '.')
सातमाथिका,सात,('SFX', '22', '0', 'माथिका', '.')
पूर्वसभापतिलाई,पूर्वसभापति,('SFX', '15', '0', 'लाई', '.')
पूर्वसभापतितिर,पूर्वसभापति,('SFX', '22', '0', 'तिर', '.')
पूर्वसभापतिअघिदेखि,पूर्वसभापति,('SFX', '22', '0', 'अघिदेखि', '.')
पूर्वसभापतिभित्रका,पूर्वसभापति,('SFX', '22', '0', 'भित्रका', '.')
पूर्वसभापतिहरूबाट,पूर्वसभापति,('SFX', '18', '0', 'हरूबाट', '.')
इतिहाससम्मको,इतिहास,('SFX', '22', '0', 'सम्मको', '.')
इतिहासबारे,इतिहास,('SFX', '22', '0', 'बारे', '.')
इतिहासकै,इतिहास,('SFX', '22', '0', 'कै', '.')
इतिहासमात्र,इतिहास,('SFX', '22', '0', 'मात्र', '.')
इतिहासलगायत,इतिहास,('SFX', '22', '0', 'लगायत', '.')
तपेसपछिको,तपेस,('SFX', '22', '0', 'पछिको', '.')
तपेसअघि,तपेस,('SFX', '22', '0', 'अघि', '.')
तपेससँगको,तपेस,('SFX', '15', '0', 'सँगको', '.')
तपेसभित्रका,तपेस,('SFX', '22', '0', 'भित्रका', '.')
तपेसलगायत,तपेस,('SFX', '22', '0', 'लगायत', '.')
औपचारिकता,औपचारिक,('SFX', '33', '0', 'ता/15X,22X', '.')
कोखोबिना,कोखो,('SFX', '15', '0', 'बिना', '.')
कोखोभित्रै,कोखो,('SFX', '22', '0', 'भित्रै', '.')
कोखोझैँ,कोखो,('SFX', '22', '0', 'झैँ', '.')
कोखोमाथि,कोखो,('SFX', '22', '0', 'माथि', '.')
कोखोसहितको,कोखो,('SFX', '22', '0', 'सहितको', '.')
आम्स्टडमकै,आम्स्टडम,('SFX', '22', '0', 'कै', '.')
आम्स्टडमभित्रका,आम्स्टडम,('SFX', '22', '0', 'भित्रका', '.')
आम्स्टडममाथिका,आम्स्टडम,('SFX', '22', '0', 'माथिका', '.')
आम्स्टडमबिना,आम्स्टडम,('SFX', '15', '0', 'बिना', '.')
आम्स्टडमभन्दापर,आम्स्टडम,('SFX', '22', '0', 'भन्दापर', '.')
सिलसिलासँगै,सिलसिला,('SFX', '15', '0', 'सँगै', '.')
सिलसिलाका,सिलसिला,('SFX', '15', '0', 'का', '.')
सिलसिलामाथिको,सिलसिला,('SFX', '22', '0', 'माथिको', '.')
सिलसिलासहितको,सिलसिला,('SFX', '22', '0', 'सहितको', '.')
सिलसिलासम्मका,सिलसिला,('SFX', '22', '0', 'सम्मका', '.')
अनुस्मरणसँगको,अनुस्मरण,('SFX', '15', '0', 'सँगको', '.')
अनुस्मरणपछि,अनुस्मरण,('SFX', '22', '0', 'पछि', '.')
अनुस्मरणमाथि,अनुस्मरण,('SFX', '22', '0', 'माथि', '.')
अनुस्मरणभन्दा,अनुस्मरण,('SFX', '22', '0', 'भन्दा', '.')
अनुस्मरणप्रति,अनुस्मरण,('SFX', '22', '0', 'प्रति', '.')
प्यालेष्टाइनमा,प्यालेष्टाइन,('SFX', '15', '0', 'मा', '.')
प्यालेष्टाइनपनि,प्यालेष्टाइन,('SFX', '22', '0', 'पनि', '.')
प्यालेष्टाइनभन्दापर,प्यालेष्टाइन,('SFX', '22', '0', 'भन्दापर', '.')
प्यालेष्टाइनभित्रमा,प्यालेष्टाइन,('SFX', '22', '0', 'भित्रमा', '.')
प्यालेष्टाइनबिना,प्यालेष्टाइन,('SFX', '15', '0', 'बिना', '.')
सकौनीजस्तो,सकौनी,('SFX', '22', '0', 'जस्तो', '.')
सकौनीमात्र,सकौनी,('SFX', '22', '0', 'मात्र', '.')
सकौनीतिर,सकौनी,('SFX', '22', '0', 'तिर', '.')
सकौनीतर्फ,सकौनी,('SFX', '22', '0', 'तर्फ', '.')
सकौनीबीच,सकौनी,('SFX', '22', '0', 'बीच', '.')
आनामानीपछिका,आनामानी,('SFX', '22', '0', 'पछिका', '.')
आनामानीबिना,आनामानी,('SFX', '15', '0', 'बिना', '.')
आनामानीभित्रका,आनामानी,('SFX', '22', '0', 'भित्रका', '.')
आनामानीतर्फ,आनामानी,('SFX', '22', '0', 'तर्फ', '.')
आनामानीभित्र,आनामानी,('SFX', '22', '0', 'भित्र', '.')
ख्यातिमार्फत,ख्याति,('SFX', '22', '0', 'मार्फत', '.')
ख्यातिसहित,ख्याति,('SFX', '15', '0', 'सहित', '.')
ख्यातिलगायतका,ख्याति,('SFX', '22', '0', 'लगायतका', '.')
ख्यातिसँगका,ख्याति,('SFX', '15', '0', 'सँगका', '.')
ख्यातिसम्बन्धी,ख्याति,('SFX', '22', '0', 'सम्बन्धी', '.')
विभावमार्फत,विभाव,('SFX', '22', '0', 'मार्फत', '.')
विभावलगायतका,विभाव,('SFX', '22', '0', 'लगायतका', '.')
विभावसहित,विभाव,('SFX', '22', '0', 'सहित', '.')
विभावद्वारा,विभाव,('SFX', '15', '0', 'द्वारा', '.')
विभावपछिकी,विभाव,('SFX', '22', '0', 'पछिकी', '.')
लुटेरामार्फत,लुटेरा,('SFX', '22', '0', 'मार्फत', '.')
लुटेरामात्र,लुटेरा,('SFX', '22', '0', 'मात्र', '.')
लुटेराजस्ता,लुटेरा,('SFX', '22', '0', 'जस्ता', '.')
लुटेराअघि,लुटेरा,('SFX', '22', '0', 'अघि', '.')
लुटेरालगायतका,लुटेरा,('SFX', '22', '0', 'लगायतका', '.')
वालपनि,वाल,('SFX', '22', '0', 'पनि', '.')
वालसम्बन्धी,वाल,('SFX', '22', '0', 'सम्बन्धी', '.')
वालबाहेक,वाल,('SFX', '22', '0', 'बाहेक', '.')
वालअघि,वाल,('SFX', '22', '0', 'अघि', '.')
वालद्वारा,वाल,('SFX', '15', '0', 'द्वारा', '.')
व्याख्यापनसँग,व्याख्यापन,('SFX', '15', '0', 'सँग', '.')
व्याख्यापनसहितका,व्याख्यापन,('SFX', '22', '0', 'सहितका', '.')
व्याख्यापनसम्म,व्याख्यापन,('SFX', '22', '0', 'सम्म', '.')
व्याख्यापनमाथिका,व्याख्यापन,('SFX', '22', '0', 'माथिका', '.')
व्याख्यापनभित्रै,व्याख्यापन,('SFX', '22', '0', 'भित्रै', '.')
सोह्रका,सोह्र,('SFX', '15', '0', 'का', '.')
सोह्रबाट,सोह्र,('SFX', '15', '0', 'बाट', '.')
सोह्रसम्ममा,सोह्र,('SFX', '22', '0', 'सम्ममा', '.')
सोह्रसँगको,सोह्र,('SFX', '15', '0', 'सँगको', '.')
सोह्रभन्दा,सोह्र,('SFX', '22', '0', 'भन्दा', '.')
रोजाइदिँदा,रोजाइ,('SFX', '43', '0', 'दिँदा', '[िइ]')
रोजाइराखेनौ,रोजाइ,('SFX', '43', '0', 'राखेनौ', '[िइ]')
रोजाइसकिएला,रोजाइ,('SFX', '43', '0', 'सकिएला', '[िइ]')
रोजाइराख्यौ,रोजाइ,('SFX', '43', '0', 'राख्यौ', '[िइ]')
पासालगायत,पासा,('SFX', '22', '0', 'लगायत', '.')
पासासहित,पासा,('SFX', '15', '0', 'सहित', '.')
पासाअघिदेखि,पासा,('SFX', '22', '0', 'अघिदेखि', '.')
पासाले,पासा,('SFX', '15', '0', 'ले', '.')
पासामात्र,पासा,('SFX', '22', '0', 'मात्र', '.')
पर्जन्यका,पर्जन्य,('SFX', '15', '0', 'का', '.')
पर्जन्यसँगै,पर्जन्य,('SFX', '15', '0', 'सँगै', '.')
पर्जन्यभित्रमा,पर्जन्य,('SFX', '22', '0', 'भित्रमा', '.')
पर्जन्यसहित,पर्जन्य,('SFX', '15', '0', 'सहित', '.')
पर्जन्यबाहेक,पर्जन्य,('SFX', '22', '0', 'बाहेक', '.')
पार्किङमात्र,पार्किङ,('SFX', '22', '0', 'मात्र', '.')
पार्किङअनुसार,पार्किङ,('SFX', '22', '0', 'अनुसार', '.')
पार्किङपट्टि,पार्किङ,('SFX', '22', '0', 'पट्टि', '.')
पार्किङपछिको,पार्किङ,('SFX', '22', '0', 'पछिको', '.')
पार्किङसम्ममा,पार्किङ,('SFX', '22', '0', 'सम्ममा', '.')
कहँदैन,कह,('SFX', '8', '0', 'ँदैन', '.')
कहनसक्दी,कह,('SFX', '45', '0', 'नसक्दी', '[^उइि्]')
कहने,कह,('SFX', '8', '0', 'ने/17X,18X', '.')
कहनुपरे,कह,('SFX', '45', '0', 'नुपरे', '[^उइि्]')
कहनुभएका,कह,('SFX', '45', '0', 'नुभएका', '[^उइि्]')
खार्पाभन्दा,खार्पा,('SFX', '22', '0', 'भन्दा', '.')
खार्पाजस्तो,खार्पा,('SFX', '22', '0', 'जस्तो', '.')
खार्पापट्टि,खार्पा,('SFX', '22', '0', 'पट्टि', '.')
खार्पाबिना,खार्पा,('SFX', '15', '0', 'बिना', '.')
खार्पामाथिबाट,खार्पा,('SFX', '22', '0', 'माथिबाट', '.')
विस्तारमध्ये,विस्तार,('SFX', '22', '0', 'मध्ये', '.')
विस्तारदेखि,विस्तार,('SFX', '22', '0', 'देखि', '.')
विस्तारलाई,विस्तार,('SFX', '15', '0', 'लाई', '.')
विस्तारसम्मको,विस्तार,('SFX', '22', '0', 'सम्मको', '.')
विस्तारपनि,विस्तार,('SFX', '22', '0', 'पनि', '.')
काम्रोमाथिका,काम्रो,('SFX', '22', '0', 'माथिका', '.')
काम्रोलगायतका,काम्रो,('SFX', '22', '0', 'लगायतका', '.')
काम्रोभित्रका,काम्रो,('SFX', '22', '0', 'भित्रका', '.')
काम्रोसम्म,काम्रो,('SFX', '22', '0', 'सम्म', '.')
काम्रोका,काम्रो,('SFX', '15', '0', 'का', '.')
आँटमध्ये,आँट,('SFX', '22', '0', 'मध्ये', '.')
आँटसहितको,आँट,('SFX', '22', '0', 'सहितको', '.')
आँटमै,आँट,('SFX', '22', '0', 'मै', '.')
आँटपछि,आँट,('SFX', '22', '0', 'पछि', '.')
आँटपनि,आँट,('SFX', '22', '0', 'पनि', '.')
कराईमाथिबाट,कराई,('SFX', '22', '0', 'माथिबाट', '.')
कराईतर्फ,कराई,('SFX', '22', '0', 'तर्फ', '.')
कराईमध्ये,कराई,('SFX', '22', '0', 'मध्ये', '.')
कराईबाहेक,कराई,('SFX', '22', '0', 'बाहेक', '.')
कराईपछिकी,कराई,('SFX', '22', '0', 'पछिकी', '.')
डङ्काभन्दा,डङ्का,('SFX', '22', '0', 'भन्दा', '.')
डङ्काभित्रमा,डङ्का,('SFX', '22', '0', 'भित्रमा', '.')
डङ्कालगायत,डङ्का,('SFX', '22', '0', 'लगायत', '.')
डङ्कासम्ममा,डङ्का,('SFX', '22', '0', 'सम्ममा', '.')
डङ्कासम्बन्धी,डङ्का,('SFX', '22', '0', 'सम्बन्धी', '.')
जुठोदेखि,जुठो,('SFX', '22', '0', 'देखि', '.')
जुठोसहितका,जुठो,('SFX', '22', '0', 'सहितका', '.')
जुठोलाई,जुठो,('SFX', '15', '0', 'लाई', '.')
जुठोबाट,जुठो,('SFX', '15', '0', 'बाट', '.')
